name_company,upadte_date,rank,age,level,experience,salary,Tên công việc,Mã công việc
CÔNG TY CỔ PHẦN SEVEN SYSTEM VIỆT NAM,18/03/2021,Nhân viên,,Không yêu cầu,Không yeu cau,"Quận 1, Quận 2, Quận 3, Quận 4, Quận 5, Quận 7, Quận Bình Thạnh, Huyện Nhà Bè",NHÂN VIÊN BÁN HÀNG (Full-time/ Part-time),CV2021-25869
CÔNG TY TNHH NISSEY VIỆT NAM,19/01/2021,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 7,200 CÔNG NHÂN - năm Nam KỸ THUẬT VIÊN,CV2021-25808
CÔNG TY TNHH MTV BỐN DÒNG KẺ,10/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Thủ Đức,CÔNG NHÂN MAY/ THỢ CẮT/ NV PHÒNG GIẶT/ LDPT,CV2020-25725
CÔNG TY TNHH THỰC PHẨM DOXACO,13/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Thạnh,GIAO HÀNG,CV2020-25720
TRƯỜNG MẦM NON 20/10,13/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,GIÁO VIÊN MẦM NON / BẢO MẪU,CV2020-25721
CÔNG TY TRÁCH NHIỆM HỮU HẠN CHÂU Á,14/10/2020,Nhân viên,,1,Không yeu cau,Quận Bình Tân,NHÂN VIÊN KỸ THUẬT/ NHÂN VIÊN ĐIỀU KIỂN ROBOT/ NHÂN VIÊN BỐC XẾP KHO LẠNH,CV2020-25724
HỌC VIỆN BÓNG ĐÁ NAM SƠN,19/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 10,GIÁO VỤ / KẾ TOÁN,CV2020-25731
CÔNG TY CỔ PHẦN T-SHOWS LED,19/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 2,KỸ THUẬT VIÊN,CV2020-25732
CÔNG TY TNHH THỊNH PHÁT,20/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 6,NHÂN VIÊN TRỰC ĐIỆN THOẠI,CV2020-25729
CÔNG TY TNHH  DẦU NHỜN 4.0,20/10/2020,Giám đốc điều hành,,Không yêu cầu,Không yeu cau,Quận Bình Tân,NHÂN VIÊN KINH DOANH DẦU NHỚT,CV2020-25733
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN DANH KHÔI,21/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 1,KINH DOANH / TRƯỞNG PHÒNG KINH DOANH,CV2020-25735
CÔNG TY TNHH IN ẤN VÀ QUẢNG CÁO PHƯỢNG UYÊN,27/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Tân,hai NỮ THIẾT KẾ ĐỒ HỌA - hai KẾ TOÁN,CV2020-25736
CÔNG TY KIM LOẠI QUÝ SÀI GÒN,28/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Thủ Đức,BẢO VỆ NỘI BỘ,CV2020-25719
AGRIBank Chi Nhánh 3,28/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 3,TẠP VỤ VĂN PHÒNG – NẤU ĂN,CV2020-25737
TRUNG TÂM PHỤC HỒI CHỨC NĂNG VÀ TRỢ GIÚP TRẺ KHUYẾT TẬT,30/10/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 3,TUYỂN DỤNG VIÊN CHỨC 2020,CV2020-25741
CÔNG TY TNHH DVVT PHÚC ÂN,02/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Tân Bình,NHÂN VIÊN NHẬP LIỆU,CV2020-25744
CÔNG TY TNHH THỢ LÀM BÁNH,04/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Thạnh,NHÂN VIÊN ĐÓNG GÓI/ GIAO HÀNG,CV2020-25746
CÔNG TY TNHH THỢ LÀM BÁNH,04/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Thạnh,TẠP VỤ,CV2020-25747
CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI YÊN PHÚ,05/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Gò Vấp,Kế toán nội bộ/ Kỹ sư xây dựng làm công trình/ Họa viên thiết kế,CV2020-25749
CÔNG TY CỔ PHẦN KHAI TRÍ,06/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 8,LAO ĐỘNG PHỔ THÔNG,CV2020-25752
CÔNG TY TNHH TM SX MAY NHƯ HUỲNH,05/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Huyện Củ Chi,NHÂN VIÊN BÁN HÀNG GỐI CAO SU,CV2020-25750
Công Ty Cổ Phần Quốc Tế Xlife,09/11/2020,Nhân viên,,1,Không yeu cau,Quận Gò Vấp,"Nhân viên bán hàng (nông sản dược liệu, hóa chất an toàn)",CV2020-25751
CÔNG TY TNHH THƯƠNG MẠI XÂY DỰNG HỶ PHONG,09/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 10,"Kỹ sư công trình, Nhân Viên Kỹ thuật công trình",CV2020-25757
AGRIBank Chi Nhánh 3,12/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 3,TẠP VỤ VĂN PHÒNG – NẤU ĂN,CV2020-25758
CÔNG TY SẮT TÂN LONG,13/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Tân,HỌA VIÊN THIẾT KẾ,CV2020-25760
CÔNG TY DỊCH VỤ BẢO VỆ NGÂN HÀNG Á CHÂU,16/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 10,NHÂN VIÊN BẢO VỆ ( NGÂN HÀNG),CV2020-25762
CÔNG TY TNHH YUJIN VINA,20/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Thủ Đức,200 NAM LAO ĐỘNG PHỔ THÔNG,CV2020-25654
CỬA HÀNG ĐIỆN LIOA,23/11/2020,Nhân viên,,2,Không yeu cau,Quận 5,NHÂN VIÊN SALE THỊ TRƯỜNG,CV2020-25769
CÔNG TY TNHH MTV TM DV - THẾ QUÂN,23/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 3,một NHÂN VIÊN QUẦY ẢNH - sáu LAO ĐỘNG PHỔ THÔNG,CV2020-25771
TRƯỜNG THPT THỦ KHOA HUÂN,25/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Tân Bình,NHÂN VIÊN TẠP VỤ - LAO CÔNG,CV2020-25773
NGOẠI NGỮ PHÚC SƠN,27/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Gò Vấp,NHÂN VIÊN PHỤC VỤ/ NHÂN VIÊN BẢO VỆ,CV2020-25776
CÔNG TY TNHH BM HOME,30/11/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Phú nhuận,"NHÂN VIÊN SALE PHÒNG TRỌ, CĂN HỘ DỊCH VỤ",CV2020-25778
CÔNG TY TNHH NISSEY VIỆT NAM,01/12/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận 7,CÔNG NHÂN SẢN XUẤT,CV2020-25727
CƠ SỞ SX GHẾ NỆM NAM VINH,01/12/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Bình Tân,THỢ LÀM GHẾ NỆM + TÀI XẾ,CV2020-25774
CÔNG TY TNHH SX TM DƯƠNG THÀNH (SUMO),11/12/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Tân Phú,"năm Vị trí thư ký, quản lý kinh doanh - 10 Vị trí NVKD - Vị trí làm nông tại Đà Lạt (2 người)",CV2020-25782
TRƯỜNG THPT THỦ KHOA HUÂN,15/12/2020,Nhân viên,,Không yêu cầu,Không yeu cau,Quận Tân Bình,BẢO VỆ (LÀM VIỆC LÂU DÀI),CV2020-25787
