name_company,upadte_date,rank,age,level,experience,salary,Tên công việc,Mã công việc
Công ty TNHH THƯƠNG MẠI THÀNH KIM SƠN,10/10/2019,Nhân viên,0.0,Trung cấp,Không yeu cau,8.000.000VNĐ,NHÂN VIÊN KINH DOANH,CV2019-25259
CÔNG TY TNHH HỒNG LAN,11/10/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,NHÂN VIÊN NHẬP LIỆU THỐNG KÊ,CV2018-22741
CÔNG TY TNHH HỒNG LAN,11/10/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,NHÂN VIÊN NHẬP LIỆU,CV2019-25267
Công ty Luật DIMAC,11/10/2019,Nhân viên,35.0,Trung cấp,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN HÀNH CHÍNH KẾ TOÁN,CV2019-25268
TỔNG CÔNG TY BẢO VIỆT NHÂN THỌ,15/10/2019,Nhân viên,0.0,Trung cấp,Không yeu cau,8.000.000VNĐ,ĐIỆN THOẠI VIÊN - Telesales - CHĂM SÓC KHÁCH HÀNG,CV2019-25263
Công Ty TNHH BLUESTAR ASIA,15/10/2019,Nhân viên,0.0,Cao đẳng,Không yeu cau,Thoả thuận,NHÂN VIÊN HR- Manager,CV2019-25270
Công Ty TNHH BLUESTAR ASIA,15/10/2019,Nhân viên,0.0,Đại học,Không yeu cau,Thoả thuận,Sales & Manager Marketing,CV2019-25271
CÔNG TY TNHH MTV HƯNG GIA PHẠM,15/10/2019,Trưởng phòng,0.0,Trung cấp,Không yeu cau,6.000.000VNĐ,NHÂN VIÊN VĂN PHÒNG,CV2019-25254
Bảo Doanh Kim Sa,15/10/2019,Nhân viên,0.0,Trung cấp,Không yeu cau,27.000.000VNĐ,KẾ TOÁN - TÀI VỤ,CV2019-25179
CÔNG TY CỐ PHẦN DƯỢC PHẨM VIỆT BÁCH,15/10/2019,Nhân viên,20.0,Trung cấp,Không yeu cau,8.000.000VNĐ,TRÌNH DƯỢC VIÊN,CV2019-25272
CÔNG TY CP QUỐC TẾ ANH VĂN HỘI VIỆT MỸ,15/10/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,"NHÂN VIÊN TƯ VẤN TUYỂN SINH, CHĂM SÓC GIÁO VIÊN, TELEMARKETING, BẢO TRÌ, BẢO VỆ",CV2019-25274
TRUNG TÂM YẾN TIỆC - HỘI NGHỊ THE ADORA,15/10/2019,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,5.500.000VNĐ,NHÂN VIÊN PHỤC VỤ,CV2019-25275
CÔNG TY CỔ PHẦN POWERTEAM VIỆT NAM,16/10/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,HỌC NGHỀ RỬA XE CÔNG NGHỆ CAO,CV2019-25269
Công ty TNHH - Sx - Tân Vinh Phát,16/10/2019,Nhân viên,0.0,Trung cấp,Không yeu cau,7.000.000VNĐ,KẾ TOÁN,CV2019-25251
Gỏi Cá Tân Hương,16/10/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,một NHÂN VIÊN PHỤ BẾP - hai NHÂN VIÊN PHỤC VỤ,CV2019-25277
CÔNG TY TNHH TM DV KỸ THUẬT TRẦN NGUYÊN,16/10/2019,Nhân viên,0.0,Cao đẳng,Không yeu cau,5.000.000VNĐ,NHÂN VIÊN KỸ THUẬT,CV2019-25278
CÔNG TY TNHH ĐẠI BẮC MIỀN NAM,16/10/2019,Nhân viên,0.0,Trung cấp,Không yeu cau,10.000.000VNĐ,NHÂN VIÊN KẾ TOÁN,CV2019-25279
CÔNG TY TNHH ĐT-KT THÀNH THUẬN,16/10/2019,Nhân viên,18.0,Trung cấp,Không yeu cau,6.000.000VNĐ,Nhân Viên Bảo Hành - Nhân Viên Kỹ Thuật,CV2019-25280
CÔNG TY DRH HOLDING,16/10/2019,Nhân viên,35.0,Trung học phổ thông,Không yeu cau,5.000.000VNĐ,NHÂN VIÊN KINH DOANH,CV2019-25281
CHUỖI CỬA HÀNG BÁNH MÌ LƯU ĐỘNG BẢO NY,17/10/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,10 NHÂN VIÊN BÁN HÀNG - hai PHỤ BẾP - một DỌN VỆ SINH,CV2019-25284
CÔNG TY TNHH MASS TRANSPORT EXPRESS VN,18/10/2019,Nhân viên,35.0,Đại học,Không yeu cau,5.000.000VNĐ,NHÂN VIÊN KẾ TOÁN,CV2019-25287
CÔNG TY TNHH TRUNG LAM,18/10/2019,Nhân viên,0.0,Cao đẳng,Không yeu cau,5.000.000VNĐ,NHÂN VIÊN KINH DOANH ONLINE,CV2019-25288
NƯỚC MÍA TRÁI CÂY LÁ XANH,19/10/2019,Nhân viên,30.0,Lao động phổ thông,Không yeu cau,5.000.000VNĐ,NHÂN VIÊN PHỤC VỤ,CV2019-25291
CÔNG TY TNHH MINH VÂN,22/10/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,LAO ĐỘNG PHỔ THÔNG,CV2019-25294
CÔNG TY TNHH TM-DV VTO PHÚC THỊNH,22/10/2019,Nhân viên,,Trung học phổ thông,Không yeu cau,8.000.000VNĐ,Nhân viên bán hàng,CV2019-25295
DIAMOND STAR,23/10/2019,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,8.000.000VNĐ,Nhân Viên Tư Vấn và Chăm Sóc Khách Hàng,CV2019-25298
CÔNG TY TNHH NISSEY VIỆT NAM,24/10/2019,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,CÔNG NHÂN - TẠP VỤ - KỸ SƯ - KỸ THUẬT VIÊN,CV2019-25301
CTY CP TM DV NHÀ HÀNG TÂN HẢI VÂN,24/10/2019,Nhân viên,0.0,Trung cấp,một,Thoả thuận,KẾ TOÁN THUẾ,CV2019-25299
CỬA HÀNG THỰC DƯỠNG DƯỠNG SINH TOTHA,25/10/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,5.000.000VNĐ,NHÂN VIÊN BÁN HÀNG,CV2019-25305
CÔNG TY TNHH TM DV LONG HƯNG PHÁT,25/10/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN GIAO NHẬN HÀNG HÓA,CV2019-25308
AGRIBank Chi Nhánh 3,25/10/2019,Nhân viên,,Cao đẳng,Không yeu cau,6.000.000VNĐ,LỄ TÂN VĂN PHÒNG,CV2019-25309
Công ty TNHH Vệ Sĩ SOS,29/10/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,Bếp Chính / Thu Ngân / Phục Vụ / Bảo Vệ,CV2019-25312
CÔNG TY TNHH TM NGUYÊN HOA,29/10/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN KINH DOANH THỊ TRƯỜNG,CV2019-25313
QUÁN SAY,29/10/2019,Nhân viên,,Trung học phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN PHỤC VỤ,CV2019-25315
TRE COFFEE,30/10/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN PHỤC VỤ,CV2019-25316
KINH DOANH SẢN PHẨM GIA CẦM,30/10/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,10.000.000VNĐ,BÁN HÀNG SẢN PHẨM GIA CẦM LÀM SẴN,CV2019-25317
Cty Cphan Giáo Dục Hoa Mai việt Nam,01/11/2019,Nhân viên,,Trung học phổ thông,Không yeu cau,Thoả thuận,CỘNG TÁC VIÊN LỄ TÂN-TƯ VẤN VIÊN (PARTTIME),CV2019-25319
CÔNG TY TNHH SÔ CÔ LA MAROU,01/11/2019,Nhân viên,,Trung cấp,Không yeu cau,5.300.000VNĐ,Công nhân sản xuất – Phòng rang hạt cacao,CV2019-25321
CÔNG TY TNHH SÔ CÔ LA MAROU,01/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,5.000.000VNĐ,Service / Phục vụ,CV2019-25322
CÔNG TY TNHH MTV DỊCH VỤ CÔNG ÍCH QUẬN 1,01/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,10.000.000VNĐ,NHÂN VIÊN PHỤ XẾ/QUÉT RÁC ĐƯỜNG PHỐ/AN TOÀN LAO ĐỘNG,CV2019-25324
TRUNG TÂM GIÁO DỤC NGHỀ NGHIỆP - GIÁO DỤC THƯỜNG XUYÊN QUẬN 1,04/11/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN BẢO VỆ,CV2019-25327
KHÁCH SẠN BÌNH MINH LÊ LAI,04/11/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,một NAM NHÂN VIÊN LỄ TÂN - hai BẢO VỆ,CV2019-25329
CÔNG TY TNHH XNK TOÀN VIỆT,06/11/2019,Nhân viên,18.0,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,LAO ĐỘNG PHỔ THÔNG,CV2019-25332
QUÁN CÀ PHÊ SÂN VƯỜN PHONG LAN,06/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,PHA CHẾ/PHỤC VỤ,CV2019-25333
CHÈ CHỊ ĐẸP,07/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,4.500.000VNĐ,PHỤC VỤ QUÁN CHÈ,CV2019-25334
CÔNG TY TNHH XNK YẾN THÀNH,12/11/2019,Nhân viên,,Trung học phổ thông,Không yeu cau,Thoả thuận,CÔNG TÁC VIÊN BÁN HÀNG,CV2019-25338
CÔNG TY TNHH BIA SAN MIGUEL VIỆT NAM,13/11/2019,Nhân viên,,Trung cấp,Không yeu cau,Thoả thuận,NHÂN VIÊN KINH DOANH,CV2019-25339
CÔNG TY TNHH MTV DỊCH VỤ CÔNG ÍCH QUẬN 1,13/11/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,10.000.000VNĐ,PHỤC VỤ NHÀ VỆ SINH CÔNG CỘNG/QUÉT RÁC ĐƯỜNG PHỐ/ NHÂN VIÊN BHLĐ-ATLĐ,CV2019-25340
NHÀ HÀNG BK,14/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN BÁN HÀNG LƯU ĐỘNG THEO XE,CV2019-25341
HOME INDEX  Gia Dụng Thông Minh,15/11/2019,Nhân viên,,Trung cấp,một,10.000.000VNĐ,Tuyển Nhân Viên Sale tìm khách sỉ (Q.2 ),CV2019-25336
CUỘI COFFEE,18/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,PHỤC VỤ,CV2019-25337
CTY ABBOTT VIỆT NAM,19/11/2019,Nhân viên,,Trung cấp,Không yeu cau,Thoả thuận,NHÂN VIÊN BÁN HÀNG THỊ TRƯỜNG (SỮA ABBOTT),CV2019-25304
CÔNG TY CỔ PHẦN HỮU HẠN VEDAN VN,19/11/2019,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,8.000.000VNĐ,NHÂN VIÊN KINH DOANH,CV2019-25354
NHÀ HÀNG LÀNG VIỆT (VIET VILLAGE),19/11/2019,Nhân viên,25.0,Cao đẳng,Không yeu cau,Thoả thuận,NHÂN VIÊN KINH DOANH,CV2019-25355
NHÀ HÀNG CHUCK'S BURGERS,19/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,PHỤC VỤ NHÀ HÀNG,CV2019-25356
CÔNG TY CỔ PHẦN TẦM NHÌN MỚI (NEOVISION),20/11/2019,Nhân viên,,Trung cấp,Không yeu cau,10.000.000VNĐ,THƯ KÝ PHÒNG KINH DOANH,CV2019-25357
CÔNG TY TNHH SX TM DV HOA ĐẤT VIỆT,20/11/2019,Nhân viên,0.0,Trung cấp,Không yeu cau,5.500.000VNĐ,KẾ TOÁN QUỸ,CV2019-25358
CÔNG TY CỔ PHẦN SX TM VIỆT HƯƠNG,20/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,CÔNG NHÂN SẢN XUẤT (THỜI VỤ),CV2019-25360
CÔNG TY TNHH GIFTS VIỆT NAM,21/11/2019,Nhân viên,,Chứng chỉ - Sơ cấp nghề,Không yeu cau,6.000.000VNĐ,NHÂN VIÊN THIẾT KẾ,CV2019-25361
CÔNG TY TNHH TM DV SX HỒNG PHƯỚC,21/11/2019,Nhân viên,0.0,Cao đẳng,Không yeu cau,Thoả thuận,KINH DOANH / KẾ TOÁN,CV2019-25362
TRUNG TÂM QUẢN LÝ KÝ TÚC XÁ ĐẠI HỌC QUỐC GIA-HCM,22/11/2019,Nhân viên,,Đại học,Không yeu cau,12.000.000VNĐ,NHÂN VIÊN Y TẾ,CV2019-25364
TRUNG TÂM QUẢN LÝ KÝ TÚC XÁ ĐẠI HỌC QUỐC GIA-HCM,22/11/2019,Nhân viên,,Đại học,Không yeu cau,12.000.000VNĐ,"NHÂN VIÊN QUẢN TRỊ, THIẾT BỊ KĨ THUẬT, TÀI CHÍNH",CV2019-25365
TRUNG TÂM QUẢN LÝ KÝ TÚC XÁ ĐẠI HỌC QUỐC GIA-HCM,22/11/2019,Nhân viên,,Đại học,Không yeu cau,12.000.000VNĐ,NHÂN VIÊN CÔNG NGHỆ THÔNG TIN/TRUYỀN THÔNG,CV2019-25366
TRUNG TÂM QUẢN LÝ KÝ TÚC XÁ ĐẠI HỌC QUỐC GIA-HCM,22/11/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,BẢO VỆ/VỆ SINH MÔI TRƯỜNG,CV2019-25368
CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG KỸ THUẬT ĐIỆN MẶT TRỜI RS1,25/11/2019,Nhân viên,0.0,Đại học,Không yeu cau,10.000.000VNĐ,KẾ TOÁN TỔNG HỢP,CV2019-25369
CÔNG TY CỔ PHẦN IN GIA ĐỊNH,25/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,LAO ĐỘNG PHỔ THÔNG,CV2019-25370
CÔNG TY CỔ PHẦN IN GIA ĐỊNH,25/11/2019,Nhân viên,0.0,Trung cấp,Không yeu cau,Thoả thuận,CƠ KHÍ,CV2019-25372
SPA NAIL SUPPLY,28/11/2019,Nhân viên,35.0,Trung học phổ thông,Không yeu cau,5.000.000VNĐ,NHÂN VIÊN TELESALES,CV2019-25376
TÀU HỦ SINGAPORE SNOWBITES,28/11/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,5.000.000VNĐ,SALES / BẾP / BARTENDER,CV2019-25377
CÔNG TY TNHH TMDV & KỸ THUẬT KỶ LỤC,03/12/2019,Nhân viên,0.0,Trung cấp,Không yeu cau,10.000.000VNĐ,NHÂN VIÊN SALE DỰ ÁN,CV2019-25382
CÔNG TY TNHH THỰC PHẨM TỐT LÀNH,06/12/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN GIAO HÀNG,CV2019-25384
CÔNG TY TNHH THỰC PHẨM TỐT LÀNH,06/12/2019,Nhân viên,0.0,Trung cấp,Không yeu cau,Thoả thuận,KẾ TOÁN KHO,CV2019-25385
SIÊU THỊ - NHÀ HÀNG HÀN QUỐC TOP MART,07/12/2019,Nhân viên,35.0,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,THU NGÂN SIÊU THỊ,CV2019-25386
SIÊU THỊ - NHÀ HÀNG HÀN QUỐC TOP MART,07/12/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,GIAO HÀNG SIÊU THỊ,CV2019-25387
SIÊU THỊ - NHÀ HÀNG HÀN QUỐC TOP MART,07/12/2019,Nhân viên,40.0,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,NHÂN VIÊN BẾP,CV2019-25388
SIÊU THỊ - NHÀ HÀNG HÀN QUỐC TOP MART,07/12/2019,Nhân viên,30.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN PHỤC VỤ,CV2019-25389
CÔNG TY TNHH TOÀN THẮNG,09/12/2019,Nhân viên,,Trung học phổ thông,Không yeu cau,6.000.000VNĐ,NHÂN VIÊN ĐIỀU HÀNH XE/NHÂN VIÊN KIỂM KHÁCH,CV2019-25390
NHÀ HÀNG BIA ĐỨC - LITTLE GERMANY VN,10/12/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,5.000.000VNĐ,NHÂN VIÊN PHỤC VỤ VÀ TẠP VỤ ( NHÀ HÀNG ),CV2019-25391
CÔNG TY BẢO VỆ TÀI CHÍNH HOA KỲ,10/12/2019,Nhân viên,22.0,Trung học phổ thông,Không yeu cau,Thoả thuận,THƯ KÝ VĂN PHÒNG,CV2019-25393
CÔNG TY CỔ PHẦN XÂY DỰNG VÀ THƯƠNG MẠI TTT,11/12/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,NHÂN VIÊN BẢO VỆ,CV2019-25395
Công Ty TNHH Một Thành Viên Phan Khang Home,12/12/2019,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,1.1 Trợ lý kho & giao nhận - 1.2 Nhân viên hành chánh văn phòng,CV2019-25396
KIM OANH COFFE LAND,13/12/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,7.000.000VNĐ,ĐẦU BẾP - BÁN HÀNG,CV2019-25397
CÔNG TY TNHH MTV DỊCH VỤ CÔNG ÍCH QUẬN 1,13/12/2019,Nhân viên,,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,NHÂN VIÊN BẢO VỆ/ QUÉT RÁC ĐƯỜNG PHỐ,CV2019-25394
ALEX WING & MISA KITCHEN,18/12/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,"bốn NHÂN VIÊN PHỤC VỤ - một RỬA CHÉN, LAU DỌN",CV2019-25402
VPĐD CÁT TƯỜNG HOÀNG VĂN THỤ - CÔNG TY CP KD NHÀ ĐẤT CÁT TƯỜNG,24/12/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,9.000.000VNĐ,NHÂN VIÊN KINH DOANH,CV2019-25404
BIG C AN PHÚ,25/12/2019,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,Nhân viên Thu ngân - Nhân viên Bán hàng,CV2019-25407
SIÊU THỊ - NHÀ HÀNG HÀN QUỐC TOP MART,25/12/2019,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,bốn NAM/ NỮ THU NGÂN SIÊU THỊ - ba NAM GIAO HÀNG SIÊU THỊ,CV2019-25409
CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ DỊCH VỤ MÔI TRƯỜNG ECO,25/12/2019,Nhân viên,0.0,Chứng chỉ - Sơ cấp nghề,Không yeu cau,Thoả thuận,Nhân viên Cơ khí,CV2019-25410
CÔNG TY TNHH DƯỢC PHẨM VÀ TRANG THIẾT BỊ Y TẾ HOÀNG ĐỨC,25/12/2019,Nhân viên,30.0,Cao đẳng,Không yeu cau,Thoả thuận,NHÂN VIÊN LỄ TÂN,CV2019-25411
CÔNG TY TNNHH GẠCH MEN NHƯ PHÁT,26/12/2019,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,6.500.000VNĐ,NHÂN VIÊN BÁN HÀNG ; KẾ TOÁN CÔNG NỢ VÀ GIAO HÀNG,CV2019-25412
HỒ ĐIỆP NGUYÊN PHAN,26/12/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN THỜI VỤ TẾT,CV2019-25413
NHÀ HÀNG BARBECUE GARDEN QUẬN 1,27/12/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,PHỤC VỤ - PHA CHẾ,CV2019-25420
NHÀ HÀNG BARBECUE GARDEN QUẬN 1,27/12/2019,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,5.000.000VNĐ,THU NGÂN,CV2019-25421
CÔNG TY TNHH XNK GREEN FIELD,27/12/2019,Nhân viên,0.0,Trung cấp,hai,Thoả thuận,NHÂN VIÊN KẾ TOÁN,CV2019-25418
CÔNG TY TNHH CỨU HỘ CỨU NẠN ĐẠI MINH,28/12/2019,Nhân viên,40.0,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,TRỰC CỨU HỘ - CỨU NẠN,CV2019-25422
SIÊU THỊ NỘI THẤT LÊ NGUYỄN,31/12/2019,Nhân viên,25.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN BÁN HÀNG,CV2019-25425
CÔNG TY TNHH CATHAY VIỆT NAM,03/01/2020,Nhân viên,22.0,Đại học,năm,15.000.000VNĐ,Quản lí kinh doanh- NV tuyển dụng nhân sự- CV tư vấn tài chính,CV2019-25414
BUD’S ICE CREAM,02/01/2020,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN PHA CHẾ- PHỤC VỤ,CV2020-25426
KHÁNH SẠN GREEN SUITES,03/01/2020,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,5.000.000VNĐ,LỄ TÂN,CV2020-25427
AGRIBank Chi Nhánh 3,04/02/2020,Nhân viên,,Cao đẳng,Không yeu cau,6.000.000VNĐ,NHÂN VIÊN VĂN THƯ,CV2020-25441
CÔNG TY CỔ PHẦN HỆ THỐNG THÔNG TIN VNT,04/02/2020,Nhân viên,0.0,Trung cấp,Không yeu cau,Thoả thuận,"năm Giao dịch viên ( Cửa Hàng VNPT) - hai Kỹ thuật (Chuyên về web,ứng dụng, API)",CV2020-25437
CÔNG TY TNHH TOÀN THẮNG,04/02/2020,Nhân viên,,Trung học phổ thông,Không yeu cau,7.500.000VNĐ,NHÂN VIÊN BÁN VÉ/NHÂN VIÊN ĐIỀU HÀNH/NHÂN VIÊN KIỂM KHÁCH,CV2020-25442
CỬA HÀNG TẤN LONG CAMERA,04/02/2020,Nhân viên,,Trung học phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN BÁN HÀNG,CV2020-25446
CAFE SÀI GÒN XƯA,05/02/2020,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN PHỤC VỤ,CV2020-25447
CÔNG TY TNHH NISSEY VIỆT NAM,05/02/2020,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,Thoả thuận,Công Nhân 400 nam/nữ- Tạp vụ ba nữ- Kỹ Sư tám Nam - Kỹ thuật viên 20 nam -,CV2020-25449
CÔNG TY TNHH MTV SX TM DV BÁNH KẸO HỶ LÂM MÔN,07/02/2020,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,Nhân Viên Bán Hàng,CV2020-25454
CÔNG TY CỔ PHẦN TAM HỢP INVESTMENT,08/02/2020,Nhân viên,,Lao động phổ thông,Không yeu cau,6.500.000VNĐ,LAO ĐỘNG PHỔ THÔNG,CV2020-25459
TRUNG TÂM GIÁO DỤC NGHỀ NGHIỆP GIÁO DỤC THƯỜNG XUYÊN QUẬN 1,10/02/2020,Nhân viên,,Trung cấp,Không yeu cau,7.000.000VNĐ,NHÂN VIÊN BẢO TRÌ/NHÂN VIÊN BẢO VỆ..,CV2020-25430
CÔNG TY TNHH M.E.A,10/02/2020,Nhân viên,0.0,Trung cấp,Không yeu cau,Thoả thuận,VẼ AUTOCAD,CV2020-25460
CÔNG TY TNHH BIA SAN MIGUEL VIỆT NAM,11/02/2020,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,KẾ TOÁN/ TRADE MARKETING/ KINH DOANH/ GS KHO/ GS KINH DOANH,CV2020-25464
CỬA HÀNG VI TÍNH MAI GIA,12/02/2020,Nhân viên,0.0,Lao động phổ thông,một,8.000.000VNĐ,BÁN HÀNG THIẾT BỊ VI TÍNH- NHÂN VIÊN IT,CV2020-25448
TRUNG TÂM PHỤC HỒI CHỨC NĂNG VÀ TRỢ GIÚP TRẺ KHUYẾT TẬT,12/02/2020,Nhân viên,0.0,Đại học,một,Thoả thuận,TUYỂN DỤNG VIÊN CHỨC 2019,CV2020-25434
CÔNG TY TNHH QUẢNG CÁO TRÍ TUỆ TỰ DO,13/02/2020,Nhân viên,,Trung học phổ thông,Không yeu cau,Thoả thuận,LAO ĐỘNG PHỔ THÔNG,CV2020-25461
CÔNG TY TNHH MTV GIÁO DỤC VÀ ĐẦU TƯ QUỐC TẾ HIQ,13/02/2020,Nhân viên,0.0,Đại học,Không yeu cau,Thoả thuận,TUYỂN DỤNG GIÁO VIÊN,CV2020-25468
AA STOP & SHOP,13/02/2020,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,NV BÁN HÀNG / NV KHO,CV2020-25469
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DƯƠNG THÀNH,13/02/2020,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NV KINH DOANH TỈNH,CV2020-25470
DNTN SẢN XUẤT TRANG SỨC TÂN TIẾN,14/02/2020,Nhân viên,,Lao động phổ thông,Không yeu cau,8.000.000VNĐ,LAO ĐỘNG PHỔ THÔNG,CV2020-25471
CÔNG TY TNHH DV TƯ VẤN HỒNG DIỄM,14/02/2020,Nhân viên,,Trung cấp,một,7.000.000VNĐ,NHÂN VIÊN KẾ TOÁN,CV2019-25375
CỬA HÀNG THÚ Y,14/02/2020,Nhân viên,,Lao động phổ thông,Không yeu cau,6.000.000VNĐ,PHỤ BÁN THUỐC THÚ Y,CV2020-25472
CÔNG TY TNHH BẾN THÀNH -RSC,14/02/2020,Nhân viên,0.0,Lao động phổ thông,Không yeu cau,Thoả thuận,NHÂN VIÊN PHỤC VỤ NHÀ HÀNG,CV2020-25473
TNHH TM DV SX Hồng Phước,17/02/2020,Nhân viên,,Đại học,Không yeu cau,7.000.000VNĐ,Nhân viên kinh doanh,CV2020-25452
TƯ NHÂN - CHỊ TUYẾT,18/02/2020,Nhân viên,0.0,Trung học phổ thông,Không yeu cau,4.000.000VNĐ,NHÂN VIÊN PHỤ BÁN HÀNG LIVES TREAM,CV2020-25478
CÔNG TY TNHH GIÁM ĐỊNH SSL,18/02/2020,Nhân viên,0.0,Cao đẳng,Không yeu cau,Thoả thuận,NHÂN VIÊN VĂN PHÒNG - XUẤT NHẬP KHẨU,CV2020-25479
Công ty TNHH Solomon International,18/02/2020,Nhân viên,,Trung học phổ thông,Không yeu cau,4.500.000VNĐ,NHÂN VIÊN KINH DOANH,CV2020-25480
CÔNG TY TNHH NGUYỄN HỒNG,19/02/2020,Nhân viên,20.0,Trung cấp,Không yeu cau,Thoả thuận,HÀNH CHÁNH/ KẾ TOÁN/ KINH DOANH/ BÁN HÀNG/ KHO,CV2020-25484
Công Ty Một Thành Viên Nội Thất Gia Khang,20/02/2020,Nhân viên,,Lao động phổ thông,Không yeu cau,Thoả thuận,THỢ MỘC - PHỤ MỘC (Thợ Chính - Thợ Phụ ),CV2019-24856
CÔNG TY TNHH LIVE REAL,21/02/2020,Nhân viên,,Cao đẳng,Không yeu cau,13.000.000VNĐ,NHÂN VIÊN KINH DOANH,CV2020-25486
CÔNG TY TNHH QUẢNG CÁO & THƯƠNG MẠI DƯƠNG PHONG,21/02/2020,Nhân viên,,Trung học phổ thông,Không yeu cau,8.500.000VNĐ,NHÂN VIÊN THỢ IN OFFSET VÀ THỢ MÁY CẮT GIẤY,CV2020-25485
CÔNG TY CỔ PHẦN R&T CONSTRUCTION,24/02/2020,Nhân viên,0.0,Đại học,Không yeu cau,Thoả thuận,NHÂN VIÊN KẾ TOÁN - KỸ SƯ ĐIỆN - KỸ SƯ XÂY DỰNG,CV2020-25490
